rel_path,ext,format,subtype,channels,sample_rate,duration_sec,file_size_bytes,source_domain
Ghana_immigration_service_vs_mpentuase (56).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (57).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (58).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (59).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (6).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (60).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (61).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (62).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (63).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (64).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (65).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (66).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (67).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (68).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (69).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (7).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (70).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (71).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (72).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (73).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (74).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (75).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (76).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (77).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (78).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (79).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (8).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (80).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (81).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (82).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (83).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (84).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (85).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (86).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (87).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (88).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (89).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (9).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (90).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (91).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (92).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (93).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (94).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (95).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (96).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (97).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (98).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Ghana_immigration_service_vs_mpentuase (99).wav,wav,WAV,PCM_16,2,48000,10,1920044,unknown
Gyaase_Meeting_2nd_April_2024 (1).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (10).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (100).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1000).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1001).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1002).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1003).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1004).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1005).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1006).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1007).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1008).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1009).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (101).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1010).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1011).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1012).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1013).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1014).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1015).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1016).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1017).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1018).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1019).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (102).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1020).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
