file,output,skipped,ok,msg,pre_snr_db,post_snr_db,snr_improvement_db,spec_dist,method,params
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (12).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (12).aff45104.wav,FALSE,TRUE,ok,16.79205149,46.26515272,29.47310123,81.76278111,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (13).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (13).aff45104.wav,FALSE,TRUE,ok,12.77514356,32.18625132,19.41110776,72.91872653,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (14).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (14).aff45104.wav,FALSE,TRUE,ok,8.997288892,28.51509552,19.51780663,59.97896854,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (15).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (15).aff45104.wav,FALSE,TRUE,ok,9.231507234,23.19306814,13.9615609,54.31342289,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (16).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (16).aff45104.wav,FALSE,TRUE,ok,10.38945826,26.03096484,15.64150657,51.51827563,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (17).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (17).aff45104.wav,FALSE,TRUE,ok,15.70254055,50.98920176,35.28666121,94.07076708,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (18).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (18).aff45104.wav,FALSE,TRUE,ok,19.87669343,55.09659963,35.2199062,85.47337905,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (19).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (19).aff45104.wav,FALSE,TRUE,ok,13.2128016,25.76903524,12.55623364,57.39676401,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (2).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (2).aff45104.wav,FALSE,TRUE,ok,14.1223208,34.12506012,20.00273932,61.47590755,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (20).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (20).aff45104.wav,FALSE,TRUE,ok,7.995744387,22.95779656,14.96205217,58.09630751,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (21).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (21).aff45104.wav,FALSE,TRUE,ok,11.77234963,40.59403333,28.8216837,61.85182071,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (22).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (22).aff45104.wav,FALSE,TRUE,ok,9.061792152,32.55317666,23.49138451,63.50418823,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (23).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (23).aff45104.wav,FALSE,TRUE,ok,8.43025846,22.16644872,13.73619026,58.7741594,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (24).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (24).aff45104.wav,FALSE,TRUE,ok,11.7312806,33.97748526,22.24620465,58.30733205,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (25).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (25).aff45104.wav,FALSE,TRUE,ok,7.763628283,29.39587464,21.63224635,64.9140589,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (26).wav,,FALSE,FALSE,error: Audio buffer is not finite everywhere,,,,,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (27).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (27).aff45104.wav,FALSE,TRUE,ok,11.51678288,40.05964347,28.54286059,62.70213428,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
